"Id";"Id_estación";"Nombre"
282;340;TEATINOS 
283;341;CCCP DEL PACIFICO 
284;359;PTE. LOPEZ  
285;361;PASO DE LA CANOA 
286;364;PTE. GUILLERMO 
287;367;TABETA 
288;369;LLANO GRANDE 
289;378;TONA 
219;356;GABARRA 
29;153;PMO GUERRERO
290;388;CACHIRI 
291;406;RIO FRIO 
292;418;GUACHAL PALMASECA 
293;103;MALAGA 2 
225;382;PTE SARDINATA 
294;139;GRANJA PIEDECUESTA 
295;177;SABANA DE TORRES 
296;242;VIVERO SURATA 
297;331;PQE. ARQUEOLOGICO SAN AGUSTIN 
298;8;APTO. FURATENA 
299;56;CORINTO 
3;29;LA BOYERA 
30;155;EL PROFUNDO 
300;74;GRANJA GUAYATA 
301;109;LAS MERCEDES  
302;250;ITUANGO 
304;281;MEDINA 
305;283;PTE. COHETANDO 
306;291;SUCRE 
307;320;LA SIERRA 
241;19;BARRANCABERMEJA 
308;325;MONGUA 
309;352;ARBOLEDAS 
31;157;PTE. ABADIA 
310;358;POLIDEPORTIVO CACHIRA 
311;362;CAMPO HERMOSO 
312;366;LAS MINAS 
313;373;PALO GRANDE 
314;375;SAN JUAN DE LOS CHORROS 
315;376;MAJADAS 
316;386;SANTA ROSA 
317;393;SANTA LUCIA 
318;397;UNI. DEL PACIFICO 
319;399;IRRA 
255;127;PALOGORDO 
320;412;POTREROS 
321;415;PUEBLO RICO 
322;419;HDA. LA GRACIOSA 
259;186;SAN PABLO 
323;431;EL SILENCIO 
324;437;PLANADAS 
325;438;IBAGUE 
326;440;RECIO 1 
327;441;BRASIL 
328;6;ALGECIRAS 
329;17;MARINILLA 
33;161;PTE. LLERAS 
330;20;ACAPULCO 
331;52;PTE. ABREGO 
332;54;MERIDA  
333;57;LA COSECHA 
272;290;SAN ALFONSO 
334;59;GRAN. DEMOSTRACION 
335;80;GRANADA SENA 
336;98;LEJANIAS 
337;173;RIO CLARO 
338;181;LA GALERA 
339;199;LA ESMERALDA 
340;232;LA FONDA 
341;233;MOLINOS 
342;254;LA MAGDALENA 
343;255;LA GARRUCHA 
344;266;SALGAR 
345;273;PIEDRA LISA II 
346;292;MONIQUIRA 
347;455;PIJAITO 
348;10;ANGOSTURAS RIO MAGDALENA 
349;53;PUERTO NUEVO 
350;81;HUERTA LA GRANDE 
351;88;ITA VALSALICE 
352;100;LLORO 
354;192;SARAVENA 
355;235;VILLA INES 
358;282;EL CALVARIO 
359;288;SANTA MARIA 
36;165;PTO. SALGAR 
360;324;EL PALO 
361;327;PTE. TOTUMO 
362;328;GUAICARAMO 
363;330;SAN SALVADOR 
364;333;MANI 
365;336;UPTC 
303;263;ANGOSTURAS 
366;360;PE¥A DE LOS MICOS 
367;377;FLORIDABLANCA 
368;390;CANELOS 
369;391;EL JUNCAL 
37;166;PUEBLO NUEVO 
370;403;PTO. CALDAS 
371;404;PTE. ZACARIAS 
372;427; HERRERA CP 
373;428;LA MURALLA 
374;430;EL CARMEN 
375;432;CUCUNUBA 
376;433;GUALI ALERTAS 
377;443;PTO. LIBRE 
378;444;PUERTO BELO 
379;445;CUCUNUBA 
38;169;QDA NEGRA 
380;446;CARMEN DE CARUPA 
381;447;PARAMO ALTO 
382;451;SAN JOAQUIN 
383;453;ALTO DEL TRIGO 
384;454;YACOPI 
385;459;SITIO NUEVO 
386;9;CARAMANTA 
387;26;COLORADOS 
388;47;PTE. YOPAL 
389;86;EL CABLE 
39;170;QDA RINCON 
390;156;PTE. MULAS 
392;205;LA PLAYA 
393;213;PAJARITO 
394;241;VISTA HERMOSA 
396;332;LA GRUTA 
397;334;VADO HONDO 
398;347;MORELIA 
399;414;VEGA EL SALADO 
4;33;C NOROOCCIDENTAL 
40;175;SAN VCTE. CAGUAN 
400;417;PTE. CARRETERA 
401;435;CORRAL DE PIEDRA 
402;457;SAN PEDRO 
403;78;LA MINA 
404;95;PTE. JUANAMBé 
405;99;LA LIBERTAD 
406;220;TUNGUAVITA 
407;231;CANTERAS 
408;461;GAMARRA 
409;462;BOLOMBOLO 
41;178;SALINAS DE UPIN 
410;77;MUTISCUA 
353;134;SAN AGUSTIN 
411;212;PTE. SAN FRANCISCO 
412;248;UNIV. UNAD CARTAGENA 
356;279;GUAYURIBA ARRIBA 
357;280;GUAYURIBA 
413;251;TUA BALNEARIO 
415;259;COTOCA ABAJO 
416;267;EL SIETE 
417;271;GUADUALITO 
418;277;PLANTA DE BOMBEO ECOPETROL 
419;278;SANTA ROSA 
42;183;SAN CAYETANO 
420;286;PUENTE REAL 
421;302;RIO MANZANARES ALERTAS 
422;304;BRISAS DEL NECHI 
423;305;MUTATA 
424;329;EL EDEN 
425;357;VETAS 
426;370;BRISAS 
427;374; LA BODEGA 
428;379;ARAUCA TERMINAL 
429;387;LA CAMPI¥A 
43;185;SAN PABLO 
430;398;PTE. CARRETERA RIO TIMBIO 
431;400;PTE. CARRETERA RIO PALACE 
432;402;TUMACO 
433;408;MONOPAMBA 
434;410;UNIV. SABANA MET. 
435;422;PICUDO 
436;423;GUACHACA 
437;425;BASE AEREA MELGAR 
438;426;PTE. CHACON 
439;429;LA NUEVA 
44;190;STA ROSITA 
440;436; PTO. BOYACA 
441;439;LA CEIBA 
442;448;VILLETA 
443;449;UNIV. SABANA HID. 
391;158;CHARCO LARGO 
444;450;SAN MIGUEL  
445;452;HDA. BONANZA 
446;456;UNE CARASA 
395;285;BORBUR 
447;34;SAN ANTONIO DE PADUA 
448;73;VILLA DE LEYVA 
449;136;SAN RAFAEL 
45;203;HDA STA ANA  
450;245;ANDAQUÖ 
451;256;DABEIBA 
452;268;MARGENTO 
453;335;PTE SEVILLA 
454;337;SAN MARCOS 
455;384;PTE. NEGRO 
456;434;CARRASPOSO 
457;463;GRANJA EXPERIMENTAL NUS 
47;228;UNI. NACIONAL 
48;230;UNI. CMARCA 
49;236;VILLA TERESA 
5;37;CAJAMARCA 
50;239;VILLETA 
51;1;ACDTO MOCOA 
414;257;PIEDRAS 
52;11;APTO. GUAPI 
54;21;BASE AEREA MFS 
55;25;BIOTOPO 
56;28;BOTANA 
57;31;LAS BRISAS 
58;32;BUENAVENTURA 
59;38;CALARCA 
6;39;BOCATOMA EAAB 
60;45;CERRO PAR. PUERRES 
61;55;CONEJERAS 2 
62;62;LA DIANA 
66;68;FARALLONES 
67;76;LOS GUACHAROS 
68;85;INDEPENDENCIA 
69;92;LA JOSEFINA 
7;40;CALOSTROS BAJO 
70;96;LA LAGUNA DEL OTUN 
71;97;SENDERO LAG VERDE 
72;104;HDA LA MANILA 
74;132;EL PARAISO 
76;137;EL PEPINO 
77;138;PIE DE PATO 
78;142;EL PLACER 
79;145;PAR. CONEJERAS 
80;147;PNN NEVADOS 
81;149;PNN QUIMBAYA  
82;162;PTE PUSMEO 
83;168;PURACE 
84;171;QUIBDO 
85;172;EL RETEN 
87;195;LA SIERRA 
88;196;SIETECUERALES 
89;197;SILOE 
9;82;VILLAVICENCIO SEDE IDEAM -ICA 
90;204;STA EMILIA 
92;216;TIBAITATA 
93;225;UNI. DE NARINO 
94;226;UNI. DEL VALLE 
95;234;VIENTO LIBRE 
96;237;VILLAMARIA 
97;240;EL VINCULO 
98;244;VOLCAN CHILES 
99;246;ZARAGOZA 
