"Id","date_ins","date_record","id_stz","id_measure","raw_data","val_data","ist_data","min_data","max_data","count_data","std_data","var_data","int_data","minute_min","minute_max","perc_data","error_code","val_code","measure_state","year_record"
"34",2019-08-25 09:01:01,2019-08-25 09:00:00,2,8,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"35",2019-08-25 10:01:36,2019-08-25 10:00:00,2,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"36",2019-08-25 11:00:31,2019-08-25 11:00:00,2,8,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"37",2019-08-25 12:01:02,2019-08-25 12:00:00,2,8,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"38",2019-08-25 13:01:46,2019-08-25 13:00:00,2,8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"39",2019-08-25 14:02:25,2019-08-25 14:00:00,2,8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"40",2019-08-25 15:01:23,2019-08-25 15:00:00,2,8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"41",2019-08-25 16:00:31,2019-08-25 16:00:00,2,8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"42",2019-08-25 17:04:54,2019-08-25 17:00:00,2,8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"43",2019-08-25 18:07:14,2019-08-25 18:00:00,2,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"44",2019-08-25 19:01:23,2019-08-25 19:00:00,2,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"45",2019-08-25 20:00:52,2019-08-25 20:00:00,2,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"46",2019-08-25 21:03:57,2019-08-25 21:00:00,2,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"47",2019-08-25 22:00:37,2019-08-25 22:00:00,2,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"48",2019-08-25 23:01:09,2019-08-25 23:00:00,2,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"49",2019-08-25 00:03:07,2019-08-25 00:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"50",2019-08-25 01:06:12,2019-08-25 01:00:00,3,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"51",2019-08-25 02:08:14,2019-08-25 02:00:00,3,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"52",2019-08-25 03:06:54,2019-08-25 03:00:00,3,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"53",2019-08-25 04:05:33,2019-08-25 04:00:00,3,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"54",2019-08-25 05:07:42,2019-08-25 05:00:00,3,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"55",2019-08-25 06:09:32,2019-08-25 06:00:00,3,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"56",2019-08-25 07:05:04,2019-08-25 07:00:00,3,8,13.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"57",2019-08-25 08:05:54,2019-08-25 08:00:00,3,8,13.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"58",2019-08-25 09:09:23,2019-08-25 09:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"59",2019-08-25 10:04:15,2019-08-25 10:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"60",2019-08-25 11:10:21,2019-08-25 11:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"61",2019-08-25 12:08:53,2019-08-25 12:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"62",2019-08-25 13:04:23,2019-08-25 13:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"63",2019-08-25 14:07:54,2019-08-25 14:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"64",2019-08-25 15:03:55,2019-08-25 15:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"65",2019-08-25 16:05:54,2019-08-25 16:00:00,3,8,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"66",2019-08-25 17:04:56,2019-08-25 17:00:00,3,8,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"67",2019-08-25 18:07:15,2019-08-25 18:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"68",2019-08-25 19:08:13,2019-08-25 19:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"69",2019-08-25 20:05:54,2019-08-25 20:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"70",2019-08-25 21:09:35,2019-08-25 21:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"71",2019-08-25 22:05:00,2019-08-25 22:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"72",2019-08-25 23:03:41,2019-08-25 23:00:00,3,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"73",2019-08-25 00:03:09,2019-08-25 00:00:00,4,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"74",2019-08-25 01:06:13,2019-08-25 01:00:00,4,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"75",2019-08-25 02:08:16,2019-08-25 02:00:00,4,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"76",2019-08-25 03:06:59,2019-08-25 03:00:00,4,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"77",2019-08-25 04:05:34,2019-08-25 04:00:00,4,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"78",2019-08-25 05:07:43,2019-08-25 05:00:00,4,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"79",2019-08-25 06:09:32,2019-08-25 06:00:00,4,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"80",2019-08-25 07:05:08,2019-08-25 07:00:00,4,8,13.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"81",2019-08-25 08:05:55,2019-08-25 08:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"82",2019-08-25 09:09:24,2019-08-25 09:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"83",2019-08-25 10:04:16,2019-08-25 10:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"84",2019-08-25 11:10:23,2019-08-25 11:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"85",2019-08-25 12:08:54,2019-08-25 12:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"86",2019-08-25 13:04:28,2019-08-25 13:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"87",2019-08-25 14:07:58,2019-08-25 14:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"88",2019-08-25 15:03:59,2019-08-25 15:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"89",2019-08-25 16:05:56,2019-08-25 16:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"90",2019-08-25 17:04:57,2019-08-25 17:00:00,4,8,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"91",2019-08-25 18:07:16,2019-08-25 18:00:00,4,8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"92",2019-08-25 19:08:15,2019-08-25 19:00:00,4,8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"93",2019-08-25 20:05:58,2019-08-25 20:00:00,4,8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"94",2019-08-25 21:09:36,2019-08-25 21:00:00,4,8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"95",2019-08-25 22:05:01,2019-08-25 22:00:00,4,8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"96",2019-08-25 23:03:45,2019-08-25 23:00:00,4,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"97",2019-08-25 00:01:12,2019-08-25 00:00:00,5,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"98",2019-08-25 01:44:51,2019-08-25 01:00:00,5,8,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"99",2019-08-25 02:01:46,2019-08-25 02:00:00,5,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"100",2019-08-25 03:01:01,2019-08-25 03:00:00,5,8,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
"101",2019-08-25 04:01:05,2019-08-25 04:00:00,5,8,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"N ",2019
